agent_nr,rate,noise,Self,Other,trial,strategy
2,0.65,0.2,1,0,108,LSWS
2,0.65,0.2,1,0,109,LSWS
2,0.65,0.2,1,1,110,LSWS
2,0.65,0.2,0,0,111,LSWS
2,0.65,0.2,0,0,112,LSWS
2,0.65,0.2,1,1,113,LSWS
2,0.65,0.2,0,0,114,LSWS
2,0.65,0.2,1,1,115,LSWS
2,0.65,0.2,0,0,116,LSWS
2,0.65,0.2,1,0,117,LSWS
2,0.65,0.2,1,0,118,LSWS
2,0.65,0.2,1,1,119,LSWS
2,0.65,0.2,0,0,120,LSWS
3,0.65,0.2,1,0,1,LSWS
3,0.65,0.2,1,1,2,LSWS
3,0.65,0.2,0,0,3,LSWS
3,0.65,0.2,1,0,4,LSWS
3,0.65,0.2,1,1,5,LSWS
3,0.65,0.2,0,1,6,LSWS
3,0.65,0.2,0,1,7,LSWS
3,0.65,0.2,0,1,8,LSWS
3,0.65,0.2,0,0,9,LSWS
3,0.65,0.2,1,1,10,LSWS
3,0.65,0.2,0,1,11,LSWS
3,0.65,0.2,0,1,12,LSWS
3,0.65,0.2,0,1,13,LSWS
3,0.65,0.2,0,1,14,LSWS
3,0.65,0.2,0,0,15,LSWS
3,0.65,0.2,0,1,16,LSWS
3,0.65,0.2,0,1,17,LSWS
3,0.65,0.2,0,0,18,LSWS
3,0.65,0.2,1,1,19,LSWS
3,0.65,0.2,0,1,20,LSWS
3,0.65,0.2,0,1,21,LSWS
3,0.65,0.2,0,1,22,LSWS
3,0.65,0.2,0,1,23,LSWS
3,0.65,0.2,0,0,24,LSWS
3,0.65,0.2,1,1,25,LSWS
3,0.65,0.2,0,1,26,LSWS
3,0.65,0.2,0,0,27,LSWS
3,0.65,0.2,1,1,28,LSWS
3,0.65,0.2,0,0,29,LSWS
3,0.65,0.2,0,1,30,LSWS
3,0.65,0.2,0,1,31,LSWS
3,0.65,0.2,0,0,32,LSWS
3,0.65,0.2,1,1,33,LSWS
3,0.65,0.2,0,0,34,LSWS
3,0.65,0.2,1,1,35,LSWS
3,0.65,0.2,0,0,36,LSWS
3,0.65,0.2,1,0,37,LSWS
3,0.65,0.2,0,1,38,LSWS
3,0.65,0.2,0,1,39,LSWS
3,0.65,0.2,1,0,40,LSWS
3,0.65,0.2,1,0,41,LSWS
3,0.65,0.2,1,0,42,LSWS
3,0.65,0.2,1,0,43,LSWS
3,0.65,0.2,1,0,44,LSWS
3,0.65,0.2,1,1,45,LSWS
3,0.65,0.2,1,0,46,LSWS
3,0.65,0.2,0,1,47,LSWS
3,0.65,0.2,0,1,48,LSWS
3,0.65,0.2,0,1,49,LSWS
3,0.65,0.2,0,0,50,LSWS
3,0.65,0.2,1,0,51,LSWS
3,0.65,0.2,1,0,52,LSWS
3,0.65,0.2,1,1,53,LSWS
3,0.65,0.2,0,0,54,LSWS
3,0.65,0.2,1,0,55,LSWS
3,0.65,0.2,0,0,56,LSWS
3,0.65,0.2,1,1,57,LSWS
3,0.65,0.2,0,1,58,LSWS
3,0.65,0.2,1,1,59,LSWS
3,0.65,0.2,0,0,60,LSWS
3,0.65,0.2,1,1,61,LSWS
3,0.65,0.2,0,0,62,LSWS
3,0.65,0.2,1,1,63,LSWS
3,0.65,0.2,0,1,64,LSWS
3,0.65,0.2,0,1,65,LSWS
3,0.65,0.2,0,0,66,LSWS
3,0.65,0.2,1,0,67,LSWS
3,0.65,0.2,1,1,68,LSWS
3,0.65,0.2,0,1,69,LSWS
3,0.65,0.2,0,1,70,LSWS
3,0.65,0.2,0,1,71,LSWS
3,0.65,0.2,0,0,72,LSWS
3,0.65,0.2,1,1,73,LSWS
3,0.65,0.2,0,1,74,LSWS
3,0.65,0.2,0,0,75,LSWS
3,0.65,0.2,1,1,76,LSWS
3,0.65,0.2,1,1,77,LSWS
3,0.65,0.2,0,1,78,LSWS
3,0.65,0.2,0,1,79,LSWS
3,0.65,0.2,0,1,80,LSWS
3,0.65,0.2,0,0,81,LSWS
3,0.65,0.2,1,1,82,LSWS
3,0.65,0.2,0,1,83,LSWS
3,0.65,0.2,0,0,84,LSWS
3,0.65,0.2,1,0,85,LSWS
3,0.65,0.2,1,1,86,LSWS
3,0.65,0.2,0,1,87,LSWS
3,0.65,0.2,0,1,88,LSWS
3,0.65,0.2,0,1,89,LSWS
3,0.65,0.2,0,1,90,LSWS
3,0.65,0.2,0,0,91,LSWS
3,0.65,0.2,1,1,92,LSWS
3,0.65,0.2,0,0,93,LSWS
3,0.65,0.2,1,0,94,LSWS
3,0.65,0.2,1,1,95,LSWS
3,0.65,0.2,0,0,96,LSWS
3,0.65,0.2,1,1,97,LSWS
3,0.65,0.2,0,0,98,LSWS
3,0.65,0.2,1,1,99,LSWS
3,0.65,0.2,0,1,100,LSWS
